DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-20,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE,LONDON PENSIONS FUND AUTHORITY,1011714878,250000,SOP1-709291-901256-173858-LPFA VOLUNTARY ERS,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,IPSOS MORI,1011714768,102984,FS302001 Food & You Wave 6 ,E1W 1YW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-14,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,BIRMINGHAM CITY COUNCIL,1011714813,91217.76,SOP1-707718-901256-173858-BUSINESS RATES APEX HOUSE,B4 7AD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-14,EXP - AMORTISATION - INTANGIBLE ASSETS,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011714823,76947.5,Technology Refresh - Surface Pro Tablets,AL10 9TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-14,EXP - AMORTISATION - INTANGIBLE ASSETS,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011714823,70934.5,Technology Refresh - Surface Pro Tablets,AL10 9TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,EPIMORPHICS LTD,1011714887,54250.5,FSA581 WP30 - Regulated Products Register,BS20 6PT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,DEMOS,1011714783,48600,FS900102 Renew Normal: Our Food System After Covid-19,SW1A 2DD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,LGC LTD,1011714811,40296.4,FS616029 - National Reference Laboratory for Genetically Modified Organisms (GMO),TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700926,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-01-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700934,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
