DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700467,444532,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,PHOENIX SOFTWARE LIMITED,1011706555,250000,Call Off Contract Ver2.0 Mar 18 GDPR Enterprise Agreement,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operations Local Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011706559,248000,Feed Off. Conts 2018/19 Prog delivery (inland/ports). Feed Official Controls funding 2018/19: ,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-30,Redacted,Redacted,Redacted,Redacted,110000,Redacted,Redacted,Redacted
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-24,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Operational Delivery,LITTLE FISH UK LTD,1011706658,71895.5,IT in Meat Plants ? Discovery Work,NG1 1LS,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-04,Exp - Purchase Of Goods/Services - Consultancy,NFCU Phase 2,PA CONSULTING SERVICES LTD,1011706467,65066,FSA572: Work package 2 ? NFCU Phase 2,SG8 6DP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operations Local Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011706559,61790,Feed Off. Conts 2018/19 NTS/TSI fees. Feed Official Controls funding 2018/19: NTS/TSI fees,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,PHOENIX SOFTWARE LIMITED,1011706555,58760.36,Updated Enterprise Agreement,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,PHOENIX SOFTWARE LIMITED,1011706555,50000,MICROSOFT,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011706495,38903.44,"Datacentre Discovery and Design - Variable - Azure Basket of Goods - VMs, OMS & Storage (WP5)",EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700470,36262.5,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700477,36262.5,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-07-12,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011706560,35562.92,Vodafone Quarterly PSN Charges Q4 2017 - Q4 2018,MK3 5JL,ADMIN
