DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-22,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,D T Z,1011702504,1841181.65,RACK RENT 25/03/2017 TO 23/06/2017,B4 6AJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-22,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,D T Z,1011702504,368236.33,RACK RENT 25/03/2017 TO 23/06/2017,B4 6AJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011702319,319668.77,Feed Off. Conts 2016/17 Prog delivery (inland/ports). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2016/17.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011702319,208800,Feed Off. Conts 2016/17 Prog delivery (FH@PP). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2016/17.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-16,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011702460,149333,MAR17 FUND,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-28,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011702556,120733.54,Evolve IT Discovery & Design,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Microbiological Food Safety Branch,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",1011702568,115614.93,PROJECT NUMBER : ATR00981,OX1 2JD,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants Policy & Strategy Unit,FERA SCIENCE LIMITED,1011702283,86058,PROFESSIONAL SERVICES,YO41 1LZ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,NATURAL ENVIRONMENT RESEARCH COUNCIL (NERC),2012700153,83334,FSA CONTRIBUTION,SN2 1EU,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-14,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700166,69649.35,C6134 FOR PERIOD FEB17,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-31,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011702599,67399.3,Evolve IT Discovery & Design,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,FLUXX LTD,1011702352,64140.02,Food Hygiene Rating Scheme (FHRS) Digital Assets,EC1N 8HX,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,Food Incidents & Resilience - Prog,S A S SOFTWARE LTD,1011702360,46455,PERPETUAL LICIENCE,SL7 2EB,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-03-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,S A S SOFTWARE LTD,1011702360,46320,FSA LICENCE PERIOD 31DEC2016 TO 30DEC2017,SL7 2EB,Programme
