DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-03,EXP - AMORTISATION - INTANGIBLE ASSETS,IT STRATEGY & DEVELOPMENT,4 NET,1011705558,120923.51,New VC Solution,M32 0TR,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYSIS & RESEARCH BRANCH,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011705659,92600,W5 questionnaire piloted and finalised Reporting (Wave 5),EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",C E F A S,2012700419,71413.35,FS102066 - Radiological analysis of food,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",C E F A S,2012700404,71413.15,FS102066 - Radiological analysis of food,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST  ,COMMUNITY RESEARCH LTD,1011705639,66737.5,FS303018 - Qualitative research: March 2018 invoice for fieldwork,LE9 4WB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST  ,QUADRAM INSTITUTE BIOSCIENCE,1011705784,62500,"FS101185 - This is a five-year joint research fellowship between the FSA and Quadram Institutes Biosciences (QIB), to develop a programme of work on bacterial foodborne pathogens and food safety.",NR4 7UA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOOD HYGIENE POLICY,C E F A S,2012700403,59822,FS101165: UK contribution to an EU survey of Norovirus in oysters at production areas and dispatch centres. Project Start Date:1 Nov 2016Project Completion Date: 31 Dec 2018. ,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-13,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,RAINMAKER SOLUTIONS LTD,1011705740,57050,Call-off: Programme Delivery Support Feb 18 ? Mar 18,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,MICRO FOOD SAFETY BRANCH,ANIMAL AND PLANT HEALTH AGENCY,2012700427,56175.23,"FS102109 ?MOU Btw The FSA and APHA. Year 3 of the EU Harmonised Survey on AMR, Beef & Pork ",KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-10,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,4 NET,1011705673,55829.01,4net Proffessional Services for Antenna,M32 0TR,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,ALLIED PUBLICITY SERVICES MANCHESTER LTD T/A APS GROUP,1011705643,55172.62,FHRS Sticker Re-print,SK3 0ZP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOOD INCIDENTS AND RESILIENCE PROG,ANIMAL HEALTH AND VETERINARY LABORATORIES AGENCY,2012700422,50122,"FS111012 - 1 April 2017 ? 31 March 2018 On-farm food Safety (Provision of services in relation to Chemical Food Safety, Surveillance and Advice).",KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-23,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT,OPERATIONS ASSURANCE DIVISION (PROGRAMME),IBM UNITED KINGDOM LTD,1011705836,50000,IBM Blockchain Pilot,PO6 3AE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-05,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT,REGULATING OUR FUTURE,EPIMORPHICS LTD,1011705609,49963.83,ROF - Extension of services to Strand 6 - User Epics and Data Ecosystem Modelling,BS20 6PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOOD INCIDENTS AND RESILIENCE PROG,KANTAR UK,1011705577,47005,3a & 3b) Public f2f citizen forum work shops & Online qualitative survey,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-11,EXP - AMORTISATION - INTANGIBLE ASSETS,OWOW,FLEXIFORM BUSINESS FURNITURE LTD,1011705707,45063.9,"Order of lockers, furniture from flexi form",EC1V 3RS,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-04-09,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,COREAZURE LTD,1011705640,45000,WP7 - Branch Office Optimisation,EC1A 4EN,ADMIN
