DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011708663,328109.01,To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2018/19.,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-15,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE,LONDON PENSIONS FUND AUTHORITY,1011708553,121657.75,2018-19 LPFA Pension Deficit reduction.,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011708495,121087.50,Lenovo laptops,AL10 9TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SCIENTIFIC METHODS AND LABORATORY POLICY,ERNST & YOUNG LLP,1011708509,101410.94,FS101212-Funding for the 2nd phase review of UK's official control laboratories in food and feed enforcement ,SE1 2AF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700571,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700571,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700571,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700571,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700571,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011708663,69189.00,To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2018/19.,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011708630,51581.00,Completion of W5 fieldwork,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT STRATEGY & DEVELOPMENT,SERVICENOW UK LTD,1011708640,50688.00,SERVICE MANAGEMENT SUITE,TW18 4TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011708575,45769.51,Datacentre Discovery and Design,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-22,EXP - AMORTISATION - INTANGIBLE ASSETS,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011708620,37546.00,Samsung Galaxy J5,AL10 9TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-25,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,VODAFONE LTD,1011708633,34167.92,Vodafone Quarterly PSN Charges,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,COMMUNITY RESEARCH LTD,1011708403,33604.00,"Consumer research to inform the style, appearance, necessary content and best location for food industry recall notices and effective communication channels for them.",LE9 4WB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-04,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,CIVICA UK LTD,1011708391,32726.60,T&M Call-off: Additional Professional Services,DY1 4TD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-19,EXP - AMORTISATION - INTANGIBLE ASSETS,REGULATING OUR FUTURE,EPIMORPHICS LTD,1011708578,31775.00,ROF - WP 15 - UV Phase 1 Build,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-02-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011708378,31655.00,Datacentre Discovery and Design,EC1A 4EN,ADMIN
